87,88,-1,-1,-1,-1,106,105,-1,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,107,-1,-1,-1,-1,-1,107,-1,-1,-1,-1,-1,-1,-1,-1,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,-1,-1,-1,-1,-1,-1,-1,-1,61,121,-1,-1,-1,-1,-1,-1,61,86,87,88,-1,-1,61,86,87,87,88,-1,-1,58,86,87,87,87,87,87,87,87,87,87,87,87,87,88,-1,-1,-1,-1,61,86
82,107,-1,-1,-1,106,107,-1,-1,122,-1,-1,-1,107,-1,-1,-1,-1,-1,107,-1,-1,-1,-1,-1,107,-1,-1,-1,-1,-1,-1,-1,-1,107,-1,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,-1,-1,-1,-1,-1,-1,-1,61,122,-1,-1,-1,-1,-1,-1,61,80,81,82,-1,-1,61,80,81,81,82,-1,-1,58,80,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,-1,-1,-1,61,80
88,107,-1,-1,61,86,87,87,87,88,105,105,61,86,87,87,87,87,87,88,-1,-1,-1,-1,61,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,-1,-1,-1,-1,106,61,121,-1,-1,-1,-1,-1,-1,61,86,87,88,-1,-1,61,86,87,87,88,-1,-1,58,86,87,87,87,87,87,87,87,87,87,87,88,-1,107,-1,-1,-1,-1,61,86
82,107,-1,-1,61,80,81,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,-1,-1,-1,-1,61,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,107,-1,-1,107,-1,-1,-1,117,-1,-1,-1,-1,-1,117,-1,-1,-1,-1,-1,-1,107,-1,-1,107,-1,-1,107,-1,-1,-1,-1,107,-1,117,-1,-1,-1,-1,106,-1,-1,107,-1,117,-1,-1,-1,107,-1,-1,107,-1,105,48,105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,107,-1,-1,-1,-1,106,80
88,107,29,29,-1,107,-1,-1,-1,107,107,-1,-1,-1,-1,-1,-1,-1,-1,107,-1,-1,-1,-1,-1,61,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,-1,-1,-1,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,-1,-1,-1,-1,86,87,88,-1,-1,-1,61,86,87,87,87,87,87,88,-1,-1,107,-1,61,86,87,87,87,88,-1,-1,61,86,87,87,87,87,87,87,87,87,87,88,-1,-1,-1,106,86
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,-1,-1,-1,-1,-1,107,-1,-1,-1,107,-1,-1,-1,-1,-1,107,-1,-1,107,-1,-1,-1,107,29,29,-1,107,-1,107,107,-1,-1,-1,-1,-1,107,-1,-1,107,-1,-1,107,-1,29,29,29,107,-1,107,29,29,29,-1,107,-1,-1,-1,-1,107,107,-1,-1,107,-1,-1,107,-1,-1,107,107,29,29,29,107,-1,-1,-1,-1,-1,-1,-1,-1,107,-1,-1,-1,-1,106,80
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,-1,-1,-1,61,86
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,-1,-1,61,80
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,-1,-1,-1,61,86
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,-1,-1,61,80
