110,110,110,-1,-1,-1,-1,-1,110,110
-1,-1,-1,107,-1,-1,-1,107,-1,-1
64,67,81,82,-1,-1,61,80,81,81
110,110,110,-1,-1,-1,-1,80,81,81
-1,-1,-1,107,-1,-1,-1,107,-1,-1
64,68,81,82,-1,-1,61,80,81,81
81,81,81,82,-1,-1,-1,-1,110,110
-1,-1,-1,107,-1,-1,-1,107,-1,-1
64,69,81,82,-1,-1,61,80,81,81
110,110,110,-1,-1,-1,-1,-1,110,110
87,87,87,88,61,121,61,86,87,87
64,70,81,82,61,122,61,80,81,81
110,110,110,-1,-1,-1,-1,110,110,110
-1,-1,-1,107,-1,-1,107,-1,-1,-1
64,71,81,82,-1,61,80,81,81,81
110,110,110,-1,-1,-1,80,81,81,81
-1,-1,-1,107,-1,-1,107,-1,-1,-1
64,72,81,82,-1,61,80,81,81,81
81,81,81,82,-1,-1,-1,110,110,110
-1,-1,-1,107,-1,-1,107,-1,-1,-1
64,81,81,82,-1,61,80,81,81,81
-1,-1,-1,-1,-1,-1,-1,-1,-1,39
-1,-1,-1,-1,-1,-1,106,105,-1,48
64,81,81,81,82,105,107,105,80,81
