81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,-1,-1,105,-1,-1,80
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,107,-1,-1,86
80,80,80,80,80,81,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,81,81,82,107,-1,106,-1,-1,-1,107,-1,107,-1,-1,-1,107,-1,61,80
-1,-1,105,-1,-1,-1,-1,-1,-1,116,-1,-1,-1,-1,-1,-1,-1,107,-1,106,-1,107,-1,-1,-1,-1,-1,-1,107,116,-1,-1,-1,-1,-1,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,106,-1,-1,-1,-1,106,-1,-1,106,-1,-1,106,-1,-1,107,-1,-1,-1,61,86,87,87,87,87,87,87,87,87,87,87
105,107,-1,80,81,81,81,81,81,82,-1,107,-1,-1,-1,-1,-1,107,-1,-1,-1,80,81,81,81,81,81,81,81,82,-1,-1,-1,-1,61,80,81,81,81,81,81,81,82,-1,-1,61,80,81,81,81,81,81,81,81,81,81,82,107,-1,-1,80,81,82,-1,61,122,-1,61,122,-1,61,80,81,81,81,82,-1,-1,61,80,81,81,81,81,81,81,81,81,81,81
-1,107,30,86,87,87,87,87,87,88,61,86,87,87,87,87,88,107,-1,-1,-1,86,88,107,-1,-1,-1,86,88,87,-1,-1,-1,-1,61,86,87,87,87,87,87,87,88,-1,-1,61,86,87,87,87,88,107,-1,-1,86,87,88,107,-1,-1,86,87,88,-1,61,121,-1,61,121,-1,61,86,87,87,87,88,-1,-1,61,86,87,87,87,87,87,87,87,87,87,87
29,107,105,105,105,105,105,107,-1,122,61,80,81,81,81,81,81,82,-1,-1,-1,122,-1,107,-1,-1,-1,107,-1,-1,107,-1,-1,-1,61,80,81,81,81,81,81,81,82,-1,-1,61,80,81,81,81,82,107,-1,-1,107,-1,-1,107,-1,-1,80,81,82,-1,61,122,-1,61,122,-1,61,80,81,81,81,82,-1,-1,61,80,81,81,81,81,81,81,81,81,81,81
87,88,-1,-1,-1,-1,-1,86,87,88,-1,107,-1,-1,-1,-1,-1,107,-1,29,-1,107,105,107,-1,-1,61,86,87,88,107,-1,-1,-1,61,86,87,87,87,87,87,87,88,-1,-1,61,86,87,87,87,88,107,-1,-1,86,87,88,107,-1,-1,86,87,88,-1,61,121,-1,61,121,-1,61,86,88,-1,-1,121,-1,-1,61,86,87,87,87,87,87,87,87,87,87,87
81,82,-1,-1,-1,-1,-1,107,-1,107,30,122,61,80,81,81,81,81,81,81,81,82,-1,107,105,29,30,80,81,81,82,29,29,-1,-1,107,-1,-1,-1,107,107,-1,107,-1,-1,-1,107,-1,-1,107,107,107,29,30,80,81,81,82,29,30,107,-1,107,-1,29,107,-1,29,107,29,30,107,107,-1,30,122,29,-1,30,80,81,81,81,81,81,81,81,81,81,81
87,87,87,87,87,87,87,87,87,87,87,88,61,86,87,87,87,87,87,87,87,88,-1,107,105,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
