-1,-1,106,-1,-1,-1,-1,-1,-1,107,-1,-1,106,-1,61,86,87,87,87,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,107,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
-1,-1,107,-1,-1,80,81,81,81,82,-1,61,80,81,81,81,81,81,81,81,82,-1,-1,-1,-1,39,80,81,81,82,107,-1,-1,106,-1,-1,-1,-1,105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,107,-1,-1,116,107,-1,-1,-1,-1,61,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
88,-1,107,-1,-1,107,-1,-1,61,86,88,-1,107,-1,-1,107,-1,-1,-1,48,107,-1,-1,-1,-1,48,-1,-1,-1,107,107,-1,-1,107,-1,-1,107,-1,-1,107,-1,-1,-1,-1,-1,-1,-1,-1,61,86,87,87,88,107,-1,61,121,-1,61,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
82,-1,107,-1,-1,107,-1,105,61,122,-1,-1,107,-1,61,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,61,80,81,81,82,-1,-1,-1,-1,-1,-1,-1,-1,61,80,81,81,82,107,-1,61,80,81,81,82,-1,-1,-1,106,-1,-1,-1,106,-1,-1,105,-1,-1,-1,-1,107,-1,-1,61,80
88,-1,107,-1,-1,107,-1,-1,61,121,29,29,107,-1,-1,107,-1,-1,-1,107,107,-1,-1,107,-1,-1,107,-1,-1,107,-1,-1,86,88,-1,61,86,87,87,88,-1,-1,-1,-1,-1,-1,-1,-1,61,86,87,87,88,107,-1,-1,107,-1,-1,116,-1,-1,-1,107,-1,-1,-1,107,-1,-1,-1,107,-1,-1,-1,107,-1,61,86,87
81,81,82,29,30,80,81,81,81,81,81,82,107,-1,61,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,61,80,81,81,82,-1,-1,-1,-1,-1,-1,-1,-1,61,80,81,81,82,107,-1,61,80,81,81,81,81,81,82,107,-1,-1,61,80,81,81,81,81,81,81,81,82,-1,61,80,81
87,87,87,87,87,87,87,87,87,87,87,88,107,-1,-1,117,-1,-1,-1,107,-1,-1,-1,-1,107,-1,-1,-1,-1,107,-1,-1,-1,107,-1,-1,107,-1,-1,116,-1,-1,-1,-1,-1,-1,-1,106,-1,107,-1,-1,107,107,-1,61,86,87,87,87,87,88,-1,107,-1,-1,61,86,87,87,87,87,87,87,87,87,87,87,87,87
81,81,81,81,81,81,81,81,81,82,-1,117,107,-1,-1,107,-1,-1,61,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,35,-1,-1,-1,-1,-1,35,61,80,81,81,81,81,81,81,81,81,81,81,81,81,82,107,-1,-1,61,80,81,81,81,81,81,81,81,81,81,81,81,81
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,107,-1,-1,107,-1,-1,107,-1,36,-1,-1,-1,-1,-1,36,-1,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,107,107,-1,-1,107,-1,-1,61,86,87,87,87,87,87,87,87,87,87,87,87,87
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,107,-1,61,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,-1,-1,-1,-1,61,80,81,81,81,82,-1,-1,61,80,81,81,81,81,81,81,81,81,81,81,81,81
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,107,-1,-1,107,-1,-1,116,-1,107,-1,-1,-1,-1,-1,-1,-1,107,107,-1,-1,107,-1,-1,-1,-1,-1,107,107,-1,-1,107,-1,-1,61,86,87,87,87,87,87,87,87,87,87,87,87,87
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
